datetime,MaxLevel
2018-10-18,679.5
2018-10-17,679.0
2018-10-16,678.6
2018-10-15,677.8
2018-10-14,677.9
2018-10-13,677.6
2018-10-12,677.4
2018-10-11,677.0
2018-10-10,677.0
2018-10-09,676.6
2018-10-08,676.5
2018-10-07,676.6
2018-10-06,676.5
2018-10-05,676.5
2018-10-04,676.7
2018-10-03,676.8
2018-10-02,676.7
2018-10-01,676.9
2018-09-30,677.0
2018-09-29,676.8
2018-09-28,676.6
2018-09-27,676.6
2018-09-26,676.1
2018-09-25,675.6
2018-09-24,675.4
2018-09-23,674.8
2018-09-22,673.8
2018-09-21,672.3
2018-09-20,671.8
2018-09-19,671.3
2018-09-18,670.7
2018-09-17,669.7
2018-09-16,668.6
2018-09-15,667.4
2018-09-14,665.5
2018-09-13,664.4
2018-09-12,663.6
2018-09-11,662.5
2018-09-10,660.7
2018-09-09,658.5
2018-09-08,655.8
2018-09-07,654.4
2018-09-06,652.6
2018-09-05,651.3
2018-09-04,648.4
2018-09-03,642.3
2018-09-02,642.4
2018-09-01,641.5
2018-08-31,640.6
2018-08-30,640.9
2018-08-29,641.1
2018-08-28,641.4
2018-08-27,642.7
2018-08-26,643.1
2018-08-25,643.0
2018-08-24,642.8
2018-08-23,643.3
2018-08-22,643.4
2018-08-21,643.9
2018-08-20,645.2
2018-08-19,645.7
2018-08-18,645.4
2018-08-17,645.1
2018-08-16,645.1
2018-08-15,645.3
2018-08-14,645.5
2018-08-13,644.9
2018-08-12,643.9
2018-08-11,642.5
2018-08-10,641.1
2018-08-09,641.8
2018-08-08,642.0
2018-08-07,642.9
2018-08-06,643.6
2018-08-05,644.4
2018-08-04,643.7
2018-08-03,643.4
2018-08-02,644.2
2018-08-01,644.7
2018-07-31,644.7
2018-07-30,646.8
2018-07-29,647.4
2018-07-28,646.9
2018-07-27,646.4
2018-07-26,646.6
2018-07-25,648.7
2018-07-24,649.2
2018-07-23,649.9
2018-07-22,650.5
2018-07-21,650.3
2018-07-20,650.6
2018-07-19,651.5
2018-07-18,652.2
2018-07-17,653.3
2018-07-16,654.4
2018-07-15,655.1
2018-07-14,655.2
2018-07-13,655.1
2018-07-12,655.0
2018-07-11,654.4
2018-07-10,653.6
2018-07-09,651.1
2018-07-08,648.4
2018-07-07,647.2
2018-07-06,645.2
2018-07-05,643.1
2018-07-04,641.2
2018-07-03,641.2
2018-07-02,642.6
2018-07-01,643.4
2018-06-30,642.8
2018-06-29,642.4
2018-06-28,642.7
2018-06-27,643.4
2018-06-26,644.1
2018-06-25,645.3
2018-06-24,646.4
2018-06-23,646.3
2018-06-22,646.5
2018-06-21,647.4
2018-06-20,648.1
2018-06-19,647.3
2018-06-18,647.2
2018-06-17,646.9
2018-06-16,646.1
2018-06-15,645.1
2018-06-14,645.1
2018-06-13,644.9
2018-06-12,645.1
2018-06-11,646.8
2018-06-10,647.3
2018-06-09,647.1
2018-06-08,647.0
2018-06-07,647.8
2018-06-06,648.6
2018-06-05,649.5
2018-06-04,650.9
2018-06-03,651.9
2018-06-02,652.1
2018-06-01,652.3
2018-05-31,653.3
2018-05-30,654.0
2018-05-29,655.0
2018-05-28,656.7
2018-05-27,657.5
2018-05-26,657.4
2018-05-25,657.9
2018-05-24,657.9
2018-05-23,658.1
2018-05-22,658.2
2018-05-21,657.9
2018-05-20,657.6
2018-05-19,657.6
2018-05-18,658.5
2018-05-17,659.5
2018-05-16,659.6
2018-05-15,660.2
2018-05-14,660.1
2018-05-13,660.7
2018-05-12,661.0
2018-05-11,661.1
2018-05-10,661.8
2018-05-09,662.2
2018-05-08,662.3
2018-05-07,662.9
2018-05-06,662.8
2018-05-05,662.4
2018-05-04,661.1
2018-05-03,660.7
2018-05-02,661.0
2018-05-01,661.1
2018-04-30,661.2
2018-04-29,661.9
2018-04-28,661.6
2018-04-27,661.5
2018-04-26,661.3
2018-04-25,660.8
2018-04-24,661.4
2018-04-23,662.5
2018-04-22,663.3
2018-04-21,663.3
2018-04-20,662.6
2018-04-19,663.1
2018-04-18,663.9
2018-04-17,664.3
2018-04-16,665.1
2018-04-15,665.8
2018-04-14,665.8
2018-04-13,665.9
2018-04-12,666.3
2018-04-11,666.6
2018-04-10,667.0
2018-04-09,667.6
2018-04-08,668.1
2018-04-07,667.8
2018-04-06,667.7
2018-04-05,668.0
2018-04-04,668.0
2018-04-03,668.4
2018-04-02,668.6
2018-04-01,668.7
2018-03-31,668.0
2018-03-30,667.3
2018-03-29,666.7
2018-03-28,664.6
2018-03-27,661.1
2018-03-26,661.5
2018-03-25,662.1
2018-03-24,661.9
2018-03-23,662.0
2018-03-22,662.0
2018-03-21,662.6
2018-03-20,663.0
2018-03-19,663.5
2018-03-18,664.0
2018-03-17,663.9
2018-03-16,664.5
2018-03-15,664.3
2018-03-14,664.9
2018-03-13,665.0
2018-03-12,665.5
2018-03-11,666.0
2018-03-10,666.0
2018-03-09,665.9
2018-03-08,666.2
2018-03-07,666.4
2018-03-06,666.6
2018-03-05,667.0
2018-03-04,667.1
2018-03-03,666.7
2018-03-02,666.4
2018-03-01,666.8
2018-02-28,666.8
2018-02-27,666.9
2018-02-26,666.7
2018-02-25,666.9
2018-02-24,666.4
2018-02-23,665.5
2018-02-22,664.9
2018-02-21,664.6
2018-02-20,664.4
2018-02-19,664.6
2018-02-18,664.9
2018-02-17,664.9
2018-02-16,664.8
2018-02-15,664.4
2018-02-14,664.4
2018-02-13,664.6
2018-02-12,664.8
2018-02-11,665.1
2018-02-10,664.8
2018-02-09,664.5
2018-02-08,664.4
2018-02-07,664.2
2018-02-06,664.2
2018-02-05,664.2
2018-02-04,664.9
2018-02-03,664.1
2018-02-02,664.0
2018-02-01,663.4
2018-01-31,663.6
2018-01-30,663.5
2018-01-29,663.9
2018-01-28,664.1
2018-01-27,664.1
2018-01-26,663.8
2018-01-25,663.8
2018-01-24,663.8
2018-01-23,664.1
2018-01-22,664.4
2018-01-21,664.7
2018-01-20,664.2
2018-01-19,663.9
2018-01-18,663.5
2018-01-17,663.4
2018-01-16,664.2
2018-01-15,664.4
2018-01-14,664.6
2018-01-13,664.7
2018-01-12,664.3
2018-01-11,664.9
2018-01-10,664.7
2018-01-09,664.8
2018-01-08,664.8
2018-01-07,665.1
2018-01-06,664.8
2018-01-05,664.8
2018-01-04,664.4
2018-01-03,665.1
2018-01-02,665.6
2018-01-01,665.9
2017-12-31,666.1
2017-12-30,666.5
2017-12-29,666.2
2017-12-28,666.3
2017-12-27,666.7
2017-12-26,666.8
2017-12-25,666.7
2017-12-24,666.8
2017-12-23,666.8
2017-12-22,666.6
2017-12-21,666.9
2017-12-20,666.5
2017-12-19,666.1
2017-12-18,665.8
2017-12-17,665.8
2017-12-16,665.0
2017-12-15,664.3
2017-12-14,664.5
2017-12-13,664.6
2017-12-12,664.6
2017-12-11,664.9
2017-12-10,665.0
2017-12-09,664.5
2017-12-08,663.8
2017-12-07,663.4
2017-12-06,661.7
2017-12-05,661.4
2017-12-04,661.4
2017-12-03,661.6
2017-12-02,661.3
2017-12-01,661.1
2017-11-30,661.4
2017-11-29,661.4
2017-11-28,661.7
2017-11-27,662.1
