datetime,MaxLevel
2018-10-18,872.3
2018-10-17,872.3
2018-10-16,872.1
2018-10-15,872.0
2018-10-14,871.9
2018-10-13,871.8
2018-10-12,871.6
2018-10-11,871.5
2018-10-10,871.4
2018-10-09,871.3
2018-10-08,871.1
2018-10-07,871.0
2018-10-06,870.9
2018-10-05,870.8
2018-10-04,870.7
2018-10-03,870.6
2018-10-02,870.5
2018-10-01,870.4
2018-09-30,870.3
2018-09-29,870.1
2018-09-28,870.0
2018-09-27,869.9
2018-09-26,869.8
2018-09-25,869.7
2018-09-24,869.6
2018-09-23,869.5
2018-09-22,869.3
2018-09-21,869.1
2018-09-20,868.9
2018-09-19,868.6
2018-09-18,868.3
2018-09-17,868.1
2018-09-16,867.8
2018-09-15,867.4
2018-09-14,867.1
2018-09-13,866.8
2018-09-12,866.6
2018-09-11,866.3
2018-09-10,866.1
2018-09-09,865.7
2018-09-08,865.4
2018-09-07,865.2
2018-09-06,865.0
2018-09-05,865.0
2018-09-04,864.9
2018-09-03,864.7
2018-09-02,864.6
2018-09-01,864.6
2018-08-31,864.6
2018-08-30,864.6
2018-08-29,864.6
2018-08-28,864.6
2018-08-27,864.6
2018-08-26,864.6
2018-08-25,864.6
2018-08-24,864.6
2018-08-23,864.6
2018-08-22,864.6
2018-08-21,864.6
2018-08-20,864.5
2018-08-19,864.5
2018-08-18,864.5
2018-08-17,864.5
2018-08-16,864.4
2018-08-15,864.4
2018-08-14,864.4
2018-08-13,864.4
2018-08-12,864.4
2018-08-11,864.3
2018-08-10,864.3
2018-08-09,864.4
2018-08-08,864.5
2018-08-07,864.5
2018-08-06,864.5
2018-08-05,864.6
2018-08-04,864.7
2018-08-03,864.8
2018-08-02,864.8
2018-08-01,864.9
2018-07-31,865.0
2018-07-30,865.1
2018-07-29,865.1
2018-07-28,865.2
2018-07-27,865.3
2018-07-26,865.4
2018-07-25,865.5
2018-07-24,865.6
2018-07-23,865.7
2018-07-22,865.8
2018-07-21,865.9
2018-07-20,866.0
2018-07-19,866.1
2018-07-18,866.1
2018-07-17,866.2
2018-07-16,866.3
2018-07-15,866.3
2018-07-14,866.3
2018-07-13,866.4
2018-07-12,866.5
2018-07-11,866.5
2018-07-10,866.5
2018-07-09,866.5
2018-07-08,866.4
2018-07-07,866.5
2018-07-06,866.5
2018-07-05,866.5
2018-07-04,866.6
2018-07-03,866.8
2018-07-02,866.9
2018-07-01,867.0
2018-06-30,867.0
2018-06-29,867.2
2018-06-28,867.2
2018-06-27,867.3
2018-06-26,867.5
2018-06-25,867.6
2018-06-24,867.7
2018-06-23,867.7
2018-06-22,867.8
2018-06-21,868.0
2018-06-20,868.1
2018-06-19,868.2
2018-06-18,868.3
2018-06-17,868.4
2018-06-16,868.5
2018-06-15,868.6
2018-06-14,868.7
2018-06-13,868.8
2018-06-12,868.9
2018-06-11,869.0
2018-06-10,869.1
2018-06-09,869.2
2018-06-08,869.4
2018-06-07,869.5
2018-06-06,869.7
2018-06-05,869.8
2018-06-04,869.9
2018-06-03,870.0
2018-06-02,870.1
2018-06-01,870.2
2018-05-31,870.4
2018-05-30,870.5
2018-05-29,870.6
2018-05-28,870.7
2018-05-27,870.8
2018-05-26,870.8
2018-05-25,870.9
2018-05-24,870.9
2018-05-23,871.0
2018-05-22,871.0
2018-05-21,871.0
2018-05-20,871.0
2018-05-19,871.0
2018-05-18,871.2
2018-05-17,871.2
2018-05-16,871.4
2018-05-15,871.5
2018-05-14,871.6
2018-05-13,871.6
2018-05-12,871.7
2018-05-11,871.7
2018-05-10,871.8
2018-05-09,871.8
2018-05-08,871.9
2018-05-07,871.9
2018-05-06,872.0
2018-05-05,872.0
2018-05-04,871.9
2018-05-03,872.0
2018-05-02,872.1
2018-05-01,872.1
2018-04-30,872.2
2018-04-29,872.2
2018-04-28,872.2
2018-04-27,872.3
2018-04-26,872.4
2018-04-25,872.5
2018-04-24,872.5
2018-04-23,872.6
2018-04-22,872.6
2018-04-21,872.7
2018-04-20,872.7
2018-04-19,872.7
2018-04-18,872.9
2018-04-17,872.9
2018-04-16,873.0
2018-04-15,873.0
2018-04-14,873.1
2018-04-13,873.2
2018-04-12,873.3
2018-04-11,873.3
2018-04-10,873.3
2018-04-09,873.4
2018-04-08,873.5
2018-04-07,873.6
2018-04-06,873.6
2018-04-05,873.7
2018-04-04,873.7
2018-04-03,873.9
2018-04-02,873.9
2018-04-01,873.9
2018-03-31,874.0
2018-03-30,874.0
2018-03-29,874.1
2018-03-28,874.1
2018-03-27,874.1
2018-03-26,874.1
2018-03-25,874.1
2018-03-24,874.1
2018-03-23,874.2
2018-03-22,874.2
2018-03-21,874.3
2018-03-20,874.4
2018-03-19,874.5
2018-03-18,874.5
2018-03-17,874.6
2018-03-16,874.6
2018-03-15,874.6
2018-03-14,874.6
2018-03-13,874.6
2018-03-12,874.6
2018-03-11,874.7
2018-03-10,874.8
2018-03-09,874.7
2018-03-08,874.7
2018-03-07,874.8
2018-03-06,874.8
2018-03-05,874.8
2018-03-04,874.9
2018-03-03,874.9
2018-03-02,874.9
2018-03-01,874.9
2018-02-28,875.0
2018-02-27,875.0
2018-02-26,875.0
2018-02-25,875.0
2018-02-24,875.0
2018-02-23,875.0
2018-02-22,875.0
2018-02-21,875.0
2018-02-20,875.0
2018-02-19,875.1
2018-02-18,875.0
2018-02-17,875.0
2018-02-16,875.0
2018-02-15,875.0
2018-02-14,875.1
2018-02-13,875.1
2018-02-12,875.1
2018-02-11,875.1
2018-02-10,875.1
2018-02-09,875.1
2018-02-08,875.0
2018-02-07,875.1
2018-02-06,875.2
2018-02-05,875.2
2018-02-04,875.2
2018-02-03,875.2
2018-02-02,875.1
2018-02-01,875.2
2018-01-31,875.2
2018-01-30,875.1
2018-01-29,875.1
2018-01-28,875.2
2018-01-27,875.2
2018-01-26,875.2
2018-01-25,875.1
2018-01-24,875.1
2018-01-23,875.2
2018-01-22,875.2
2018-01-21,875.2
2018-01-20,875.2
2018-01-19,875.2
2018-01-18,875.1
2018-01-17,875.1
2018-01-16,875.2
2018-01-15,875.2
2018-01-14,875.2
2018-01-13,875.1
2018-01-12,875.1
2018-01-11,875.2
2018-01-10,875.2
2018-01-09,875.2
2018-01-08,875.1
2018-01-07,875.2
2018-01-06,875.1
2018-01-05,875.1
2018-01-04,875.2
2018-01-03,875.1
2018-01-02,875.1
2018-01-01,875.1
2017-12-31,875.2
2017-12-30,875.2
2017-12-29,875.2
2017-12-28,875.2
2017-12-27,875.2
2017-12-26,875.2
2017-12-25,875.2
2017-12-24,875.2
2017-12-23,875.2
2017-12-22,875.2
2017-12-21,875.2
2017-12-20,875.2
2017-12-19,875.2
2017-12-18,875.1
2017-12-17,875.1
2017-12-16,875.1
2017-12-15,875.1
2017-12-14,875.2
2017-12-13,875.1
2017-12-12,875.1
2017-12-11,875.1
2017-12-10,875.0
2017-12-09,875.0
2017-12-08,875.0
2017-12-07,875.0
2017-12-06,874.9
2017-12-05,874.9
2017-12-04,874.9
2017-12-03,874.9
2017-12-02,874.9
2017-12-01,874.9
2017-11-30,874.9
2017-11-29,874.9
2017-11-28,875.0
2017-11-27,874.9
2017-11-26,874.9
2017-11-25,874.9
2017-11-24,874.9
2017-11-23,874.9
2017-11-22,874.9
2017-11-21,874.9
2017-11-20,874.9
2017-11-19,874.9
2017-11-18,874.9
2017-11-17,874.9
2017-11-16,874.9
2017-11-15,874.8
2017-11-14,874.8
2017-11-13,874.8
2017-11-12,874.8
2017-11-11,874.8
2017-11-10,874.7
2017-11-09,874.7
2017-11-08,874.8
2017-11-07,874.7
2017-11-06,874.7
2017-11-05,874.7
2017-11-04,874.7
2017-11-03,874.7
2017-11-02,874.7
2017-11-01,874.7
2017-10-31,874.7
2017-10-30,874.6
2017-10-29,874.6
2017-10-28,874.6
2017-10-27,874.6
2017-10-26,874.7
2017-10-25,874.6
2017-10-24,874.6
2017-10-23,874.6
2017-10-22,874.6
2017-10-21,874.6
2017-10-20,874.6
2017-10-19,874.6
2017-10-18,874.6
2017-10-17,874.5
2017-10-16,874.5
2017-10-15,874.5
2017-10-14,874.4
2017-10-13,874.4
2017-10-12,874.5
2017-10-11,874.4
2017-10-10,874.4
2017-10-09,874.4
2017-10-08,874.4
2017-10-07,874.3
2017-10-06,874.3
2017-10-05,874.2
2017-10-04,874.2
2017-10-03,874.1
2017-10-02,874.1
2017-10-01,874.0
2017-09-30,873.9
2017-09-29,873.8
2017-09-28,873.8
2017-09-27,873.5
2017-09-26,873.2
2017-09-25,873.1
2017-09-24,873.1
2017-09-23,873.1
2017-09-22,873.1
2017-09-21,873.2
2017-09-20,873.1
2017-09-19,873.1
2017-09-18,873.1
2017-09-17,873.1
2017-09-16,873.1
2017-09-15,873.1
2017-09-14,873.1
2017-09-13,873.2
2017-09-12,873.2
2017-09-11,873.2
2017-09-10,873.2
2017-09-09,873.2
2017-09-08,873.4
2017-09-07,873.2
2017-09-06,873.2
2017-09-05,873.3
2017-09-04,873.3
2017-09-03,873.3
2017-09-02,873.4
2017-09-01,873.3
2017-08-31,873.3
2017-08-30,873.4
2017-08-29,873.4
2017-08-28,873.5
2017-08-27,873.5
2017-08-26,873.4
2017-08-25,873.4
2017-08-24,873.4
2017-08-23,873.4
2017-08-22,873.3
2017-08-21,873.4
2017-08-20,873.4
2017-08-19,873.4
2017-08-18,873.4
2017-08-17,873.4
2017-08-16,873.5
2017-08-15,873.5
2017-08-14,873.5
2017-08-13,873.5
2017-08-12,873.5
2017-08-11,873.6
2017-08-10,873.6
2017-08-09,873.7
2017-08-08,873.7
2017-08-07,873.7
2017-08-06,873.6
2017-08-05,873.6
2017-08-04,873.6
2017-08-03,873.7
2017-08-02,873.7
2017-08-01,873.8
2017-07-31,873.8
2017-07-30,873.8
2017-07-29,873.9
2017-07-28,873.9
2017-07-27,873.9
2017-07-26,873.9
2017-07-25,874.0
2017-07-24,874.0
2017-07-23,874.0
2017-07-22,874.1
2017-07-21,874.2
2017-07-20,874.2
2017-07-19,874.3
2017-07-18,874.3
2017-07-17,874.3
2017-07-16,874.3
2017-07-15,874.3
2017-07-14,874.3
2017-07-13,874.3
2017-07-12,874.4
2017-07-11,874.5
2017-07-10,874.5
2017-07-09,874.6
2017-07-08,874.6
2017-07-07,874.6
2017-07-06,874.7
2017-07-05,874.8
2017-07-04,874.9
2017-07-03,874.9
2017-07-02,875.0
2017-07-01,875.0
2017-06-30,875.1
2017-06-29,875.2
2017-06-28,875.2
2017-06-27,875.2
2017-06-26,875.2
2017-06-25,875.2
2017-06-24,875.3
2017-06-23,875.3
2017-06-22,875.4
2017-06-21,875.5
2017-06-20,875.5
2017-06-19,875.6
2017-06-18,875.7
2017-06-17,875.8
2017-06-16,875.9
2017-06-15,875.9
2017-06-14,876.0
2017-06-13,876.1
2017-06-12,876.1
2017-06-11,876.2
2017-06-10,876.2
2017-06-09,876.3
2017-06-08,876.3
2017-06-07,876.3
2017-06-06,876.3
2017-06-05,876.3
2017-06-04,876.3
2017-06-03,876.3
2017-06-02,876.3
2017-06-01,876.3
2017-05-31,876.2
2017-05-30,876.2
2017-05-29,876.2
2017-05-28,876.2
2017-05-27,876.2
2017-05-26,876.2
2017-05-25,876.2
2017-05-24,876.2
2017-05-23,876.2
2017-05-22,876.1
2017-05-21,876.0
2017-05-20,876.0
2017-05-19,876.0
2017-05-18,876.0
2017-05-17,876.0
2017-05-16,876.1
2017-05-15,876.1
2017-05-14,876.1
2017-05-13,876.1
2017-05-12,876.2
2017-05-11,876.2
2017-05-10,876.3
2017-05-09,876.3
2017-05-08,876.3
2017-05-07,876.4
2017-05-06,876.4
2017-05-05,876.4
2017-05-04,876.5
2017-05-03,876.6
2017-05-02,876.6
2017-05-01,876.7
2017-04-30,876.7
2017-04-29,876.7
2017-04-28,876.7
2017-04-27,876.7
2017-04-26,876.8
2017-04-25,876.8
2017-04-24,876.7
2017-04-23,876.7
2017-04-22,876.7
2017-04-21,876.7
2017-04-20,876.7
2017-04-19,876.6
2017-04-18,876.6
2017-04-17,876.6
2017-04-16,876.5
2017-04-15,876.5
2017-04-14,876.5
2017-04-13,876.4
2017-04-12,876.4
2017-04-11,876.3
2017-04-10,876.3
2017-04-09,876.3
2017-04-08,876.3
2017-04-07,876.2
2017-04-06,876.2
2017-04-05,876.2
2017-04-04,876.2
2017-04-03,876.2
2017-04-02,876.2
2017-04-01,876.1
2017-03-31,876.1
2017-03-30,876.1
2017-03-29,876.1
2017-03-28,876.1
2017-03-27,876.1
2017-03-26,876.1
2017-03-25,876.0
2017-03-24,876.1
2017-03-23,876.0
2017-03-22,876.0
2017-03-21,876.1
2017-03-20,876.1
2017-03-19,876.0
2017-03-18,876.0
2017-03-17,876.0
2017-03-16,876.0
2017-03-15,876.1
2017-03-14,876.0
2017-03-13,876.0
2017-03-12,876.0
2017-03-11,876.0
2017-03-10,876.0
2017-03-09,876.0
2017-03-08,875.9
2017-03-07,875.9
2017-03-06,876.0
2017-03-05,875.9
2017-03-04,875.9
2017-03-03,875.8
2017-03-02,875.8
2017-03-01,875.9
2017-02-28,875.8
2017-02-27,875.9
2017-02-26,875.9
2017-02-25,875.8
2017-02-24,875.8
2017-02-23,875.8
2017-02-22,875.8
2017-02-21,875.8
2017-02-20,875.8
2017-02-19,875.8
2017-02-18,875.7
2017-02-17,875.7
2017-02-16,875.6
2017-02-15,875.6
2017-02-14,875.6
2017-02-13,875.5
2017-02-12,875.5
2017-02-11,875.5
2017-02-10,875.5
2017-02-09,875.4
2017-02-08,875.4
2017-02-07,875.4
2017-02-06,875.4
2017-02-05,875.3
2017-02-04,875.3
2017-02-03,875.2
2017-02-02,875.2
2017-02-01,875.0
2017-01-31,875.0
2017-01-30,875.0
2017-01-29,874.9
2017-01-28,874.9
2017-01-27,874.9
2017-01-26,874.9
2017-01-25,875.0
2017-01-24,875.0
2017-01-23,874.9
2017-01-22,874.8
2017-01-21,874.9
2017-01-20,874.8
2017-01-19,874.8
2017-01-18,874.8
2017-01-17,874.7
2017-01-16,874.7
2017-01-15,874.7
2017-01-14,874.6
2017-01-13,874.5
2017-01-12,874.6
2017-01-11,874.6
2017-01-10,874.6
2017-01-09,874.5
2017-01-08,874.5
2017-01-07,874.4
2017-01-06,874.5
2017-01-05,874.5
2017-01-04,874.4
2017-01-03,874.4
2017-01-02,874.4
2017-01-01,874.4
2016-12-31,874.4
2016-12-30,874.3
2016-12-29,874.2
2016-12-28,874.0
2016-12-27,874.0
2016-12-26,874.0
2016-12-25,874.0
2016-12-24,874.0
2016-12-23,873.9
2016-12-22,873.9
