pdate,MaxLevel
"2018-10-18 00:00:00",679.5
"2018-10-17 00:00:00",679.0
"2018-10-16 00:00:00",678.6
"2018-10-15 00:00:00",677.8
"2018-10-14 00:00:00",677.9
"2018-10-13 00:00:00",677.6
"2018-10-12 00:00:00",677.4
"2018-10-11 00:00:00",677.0
"2018-10-10 00:00:00",677.0
"2018-10-09 00:00:00",676.6
"2018-10-08 00:00:00",676.5
"2018-10-07 00:00:00",676.6
"2018-10-06 00:00:00",676.5
"2018-10-05 00:00:00",676.5
"2018-10-04 00:00:00",676.7
"2018-10-03 00:00:00",676.8
"2018-10-02 00:00:00",676.7
"2018-10-01 00:00:00",676.9
"2018-09-30 00:00:00",677.0
"2018-09-29 00:00:00",676.8
"2018-09-28 00:00:00",676.6
"2018-09-27 00:00:00",676.6
"2018-09-26 00:00:00",676.1
"2018-09-25 00:00:00",675.6
"2018-09-24 00:00:00",675.4
"2018-09-23 00:00:00",674.8
"2018-09-22 00:00:00",673.8
"2018-09-21 00:00:00",672.3
"2018-09-20 00:00:00",671.8
"2018-09-19 00:00:00",671.3
"2018-09-18 00:00:00",670.7
"2018-09-17 00:00:00",669.7
"2018-09-16 00:00:00",668.6
"2018-09-15 00:00:00",667.4
"2018-09-14 00:00:00",665.5
"2018-09-13 00:00:00",664.4
"2018-09-12 00:00:00",663.6
"2018-09-11 00:00:00",662.5
"2018-09-10 00:00:00",660.7
"2018-09-09 00:00:00",658.5
"2018-09-08 00:00:00",655.8
"2018-09-07 00:00:00",654.4
"2018-09-06 00:00:00",652.6
"2018-09-05 00:00:00",651.3
"2018-09-04 00:00:00",648.4
"2018-09-03 00:00:00",642.3
"2018-09-02 00:00:00",642.4
"2018-09-01 00:00:00",641.5
"2018-08-31 00:00:00",640.6
"2018-08-30 00:00:00",640.9
"2018-08-29 00:00:00",641.1
"2018-08-28 00:00:00",641.4
"2018-08-27 00:00:00",642.7
"2018-08-26 00:00:00",643.1
"2018-08-25 00:00:00",643.0
"2018-08-24 00:00:00",642.8
"2018-08-23 00:00:00",643.3
"2018-08-22 00:00:00",643.4
"2018-08-21 00:00:00",643.9
"2018-08-20 00:00:00",645.2
"2018-08-19 00:00:00",645.7
"2018-08-18 00:00:00",645.4
"2018-08-17 00:00:00",645.1
"2018-08-16 00:00:00",645.1
"2018-08-15 00:00:00",645.3
"2018-08-14 00:00:00",645.5
"2018-08-13 00:00:00",644.9
"2018-08-12 00:00:00",643.9
"2018-08-11 00:00:00",642.5
"2018-08-10 00:00:00",641.1
"2018-08-09 00:00:00",641.8
"2018-08-08 00:00:00",642.0
"2018-08-07 00:00:00",642.9
"2018-08-06 00:00:00",643.6
"2018-08-05 00:00:00",644.4
"2018-08-04 00:00:00",643.7
"2018-08-03 00:00:00",643.4
"2018-08-02 00:00:00",644.2
"2018-08-01 00:00:00",644.7
"2018-07-31 00:00:00",644.7
"2018-07-30 00:00:00",646.8
"2018-07-29 00:00:00",647.4
"2018-07-28 00:00:00",646.9
"2018-07-27 00:00:00",646.4
"2018-07-26 00:00:00",646.6
"2018-07-25 00:00:00",648.7
"2018-07-24 00:00:00",649.2
"2018-07-23 00:00:00",649.9
"2018-07-22 00:00:00",650.5
"2018-07-21 00:00:00",650.3
"2018-07-20 00:00:00",650.6
"2018-07-19 00:00:00",651.5
"2018-07-18 00:00:00",652.2
"2018-07-17 00:00:00",653.3
"2018-07-16 00:00:00",654.4
"2018-07-15 00:00:00",655.1
"2018-07-14 00:00:00",655.2
"2018-07-13 00:00:00",655.1
"2018-07-12 00:00:00",655.0
"2018-07-11 00:00:00",654.4
"2018-07-10 00:00:00",653.6
"2018-07-09 00:00:00",651.1
"2018-07-08 00:00:00",648.4
"2018-07-07 00:00:00",647.2
"2018-07-06 00:00:00",645.2
"2018-07-05 00:00:00",643.1
"2018-07-04 00:00:00",641.2
"2018-07-03 00:00:00",641.2
"2018-07-02 00:00:00",642.6
"2018-07-01 00:00:00",643.4
