datetime,datetime_x,datetime_x,Comal River,Unnamed: 0_x,datetime_y,Comal Rv (nc),Unnamed: 0_y,datetime.1,Comal Rv (oc),datetime_y,MaxLevel
2014-05-06,2014-05-06 00:00:00,2014-05-06 00:00:00,116.0,188,2014-05-06 00:00:00,61.9,77704,2014-05-06 00:00:00,50.7,2014-05-06,830.7489999999998
2014-05-07,2014-05-07 00:00:00,2014-05-07 00:00:00,116.0,284,2014-05-07 00:00:00,54.1,77800,2014-05-07 00:00:00,50.1,2014-05-07,830.637
2014-05-08,2014-05-08 00:00:00,2014-05-08 00:00:00,113.0,380,2014-05-08 00:00:00,52.2,77896,2014-05-08 00:00:00,51.3,2014-05-08,830.498
2014-05-09,2014-05-09 00:00:00,2014-05-09 00:00:00,118.0,476,2014-05-09 00:00:00,54.1,77992,2014-05-09 00:00:00,52.6,2014-05-09,830.3610000000001
2014-05-10,2014-05-10 00:00:00,2014-05-10 00:00:00,113.0,572,2014-05-10 00:00:00,52.2,78088,2014-05-10 00:00:00,53.2,2014-05-10,830.352
2014-05-11,2014-05-11 00:00:00,2014-05-11 00:00:00,122.0,668,2014-05-11 00:00:00,63.9,78184,2014-05-11 00:00:00,58.8,2014-05-11,830.442
2014-05-12,2014-05-12 00:00:00,2014-05-12 00:00:00,129.0,764,2014-05-12 00:00:00,65.8,78280,2014-05-12 00:00:00,58.2,2014-05-12,830.477
2014-05-13,2014-05-13 00:00:00,2014-05-13 00:00:00,249.0,860,2014-05-13 00:00:00,200.0,78376,2014-05-13 00:00:00,74.8,2014-05-13,830.503
2014-05-14,2014-05-14 00:00:00,2014-05-14 00:00:00,143.0,956,2014-05-14 00:00:00,75.7,78472,2014-05-14 00:00:00,57.6,2014-05-14,830.555
2014-05-15,2014-05-15 00:00:00,2014-05-15 00:00:00,131.0,1052,2014-05-15 00:00:00,79.7,78568,2014-05-15 00:00:00,56.9,2014-05-15,830.561
2014-05-16,2014-05-16 00:00:00,2014-05-16 00:00:00,131.0,1148,2014-05-16 00:00:00,81.6,78664,2014-05-16 00:00:00,56.9,2014-05-16,830.523
2014-05-17,2014-05-17 00:00:00,2014-05-17 00:00:00,127.0,1244,2014-05-17 00:00:00,75.7,78760,2014-05-17 00:00:00,57.6,2014-05-17,830.428
2014-05-18,2014-05-18 00:00:00,2014-05-18 00:00:00,131.0,1340,2014-05-18 00:00:00,79.7,78856,2014-05-18 00:00:00,60.0,2014-05-18,830.279
2014-05-19,2014-05-19 00:00:00,2014-05-19 00:00:00,134.0,1436,2014-05-19 00:00:00,75.7,78952,2014-05-19 00:00:00,63.8,2014-05-19,830.078
2014-05-20,2014-05-20 00:00:00,2014-05-20 00:00:00,131.0,1532,2014-05-20 00:00:00,87.6,79048,2014-05-20 00:00:00,53.8,2014-05-20,829.972
2014-05-21,2014-05-21 00:00:00,2014-05-21 00:00:00,124.0,1628,2014-05-21 00:00:00,83.6,79144,2014-05-21 00:00:00,53.8,2014-05-21,829.9
2014-05-22,2014-05-22 00:00:00,2014-05-22 00:00:00,127.0,1724,2014-05-22 00:00:00,81.6,79240,2014-05-22 00:00:00,53.2,2014-05-22,829.7919999999998
2014-05-23,2014-05-23 00:00:00,2014-05-23 00:00:00,124.0,1820,2014-05-23 00:00:00,73.7,79336,2014-05-23 00:00:00,52.6,2014-05-23,829.6419999999998
2014-05-24,2014-05-24 00:00:00,2014-05-24 00:00:00,124.0,1916,2014-05-24 00:00:00,73.7,79432,2014-05-24 00:00:00,56.3,2014-05-24,829.576
2014-05-25,2014-05-25 00:00:00,2014-05-25 00:00:00,129.0,2012,2014-05-25 00:00:00,73.7,79528,2014-05-25 00:00:00,58.2,2014-05-25,829.549
2014-05-26,2014-05-26 00:00:00,2014-05-26 00:00:00,131.0,2108,2014-05-26 00:00:00,79.7,79624,2014-05-26 00:00:00,58.8,2014-05-26,830.0039999999998
2014-05-27,2014-05-27 00:00:00,2014-05-27 00:00:00,148.0,2204,2014-05-27 00:00:00,89.6,79720,2014-05-27 00:00:00,57.6,2014-05-27,830.6519999999998
2014-05-28,2014-05-28 00:00:00,2014-05-28 00:00:00,156.0,2300,2014-05-28 00:00:00,93.6,79816,2014-05-28 00:00:00,60.7,2014-05-28,830.81
2014-05-29,2014-05-29 00:00:00,2014-05-29 00:00:00,146.0,2396,2014-05-29 00:00:00,102.0,79912,2014-05-29 00:00:00,58.2,2014-05-29,830.813
