datetime,agency_cd,site_no,datetime,178581_00060_00001,178581_00060_00001_cd,178582_00060_00002,178582_00060_00002_cd
2004-10-01,USGS,8180000,2004-10-01,82.9,A,77.2,A
2004-10-02,USGS,8180000,2004-10-02,82.9,A,77.2,A
2004-10-03,USGS,8180000,2004-10-03,82.9,A,78.6,A
2004-10-04,USGS,8180000,2004-10-04,82.9,A,21.1,A
2004-10-05,USGS,8180000,2004-10-05,26.7,A,19.8,A
2004-10-06,USGS,8180000,2004-10-06,26.7,A,25.2,A
2004-10-07,USGS,8180000,2004-10-07,26.0,A,24.5,A
2004-10-08,USGS,8180000,2004-10-08,26.0,A,24.5,A
2004-10-09,USGS,8180000,2004-10-09,25.2,A,24.5,A
2004-10-10,USGS,8180000,2004-10-10,25.2,A,24.5,A
2004-10-11,USGS,8180000,2004-10-11,47.2,A,24.5,A
2004-10-12,USGS,8180000,2004-10-12,47.2,A,43.0,A
2004-10-13,USGS,8180000,2004-10-13,47.2,A,42.0,A
2004-10-14,USGS,8180000,2004-10-14,46.2,A,43.0,A
2004-10-15,USGS,8180000,2004-10-15,46.2,A,43.0,A
2004-10-16,USGS,8180000,2004-10-16,47.2,A,43.0,A
2004-10-17,USGS,8180000,2004-10-17,47.2,A,43.0,A
2004-10-18,USGS,8180000,2004-10-18,47.2,A,43.0,A
2004-10-19,USGS,8180000,2004-10-19,47.2,A,40.1,A
2004-10-20,USGS,8180000,2004-10-20,45.1,A,40.1,A
2004-10-21,USGS,8180000,2004-10-21,45.1,A,40.1,A
2004-10-22,USGS,8180000,2004-10-22,45.1,A,40.1,A
2004-10-23,USGS,8180000,2004-10-23,45.1,A,40.1,A
2004-10-24,USGS,8180000,2004-10-24,46.2,A,40.1,A
2004-10-25,USGS,8180000,2004-10-25,45.1,A,23.8,A
2004-10-26,USGS,8180000,2004-10-26,24.5,A,21.1,A
2004-10-27,USGS,8180000,2004-10-27,22.4,A,21.1,A
2004-10-28,USGS,8180000,2004-10-28,22.4,A,21.1,A
2004-10-29,USGS,8180000,2004-10-29,21.7,A,21.1,A
2004-10-30,USGS,8180000,2004-10-30,21.7,A,21.1,A
2004-10-31,USGS,8180000,2004-10-31,23.8,A,21.1,A
2004-11-01,USGS,8180000,2004-11-01,22.4,A,21.1,A
2004-11-02,USGS,8180000,2004-11-02,23.1,A,21.1,A
2004-11-03,USGS,8180000,2004-11-03,23.1,A,22.4,A
2004-11-04,USGS,8180000,2004-11-04,23.1,A,22.4,A
2004-11-05,USGS,8180000,2004-11-05,23.1,A,21.1,A
2004-11-06,USGS,8180000,2004-11-06,23.1,A,21.1,A
2004-11-07,USGS,8180000,2004-11-07,23.1,A,21.1,A
2004-11-08,USGS,8180000,2004-11-08,23.1,A,21.7,A
2004-11-09,USGS,8180000,2004-11-09,23.1,A,21.1,A
2004-11-10,USGS,8180000,2004-11-10,22.4,A,21.1,A
2004-11-11,USGS,8180000,2004-11-11,23.1,A,21.1,A
