datetime,agency_cd,site_no,datetime,173901_00060_00001,173901_00060_00001_cd,173902_00060_00002,173902_00060_00002_cd,173903_00060_00003,173903_00060_00003_cd
2014-09-03,USGS,8183978,2014-09-03,0.0,A,0.0,A,0.0,A
2014-09-04,USGS,8183978,2014-09-04,0.0,A,0.0,A,0.0,A
2014-09-05,USGS,8183978,2014-09-05,0.0,A,0.0,A,0.0,A
2014-09-06,USGS,8183978,2014-09-06,0.0,A,0.0,A,0.0,A
2014-09-07,USGS,8183978,2014-09-07,0.0,A,0.0,A,0.0,A
2014-09-08,USGS,8183978,2014-09-08,0.0,A,0.0,A,0.0,A
2014-09-09,USGS,8183978,2014-09-09,0.0,A,0.0,A,0.0,A
2014-09-10,USGS,8183978,2014-09-10,0.0,A,0.0,A,0.0,A
2014-09-11,USGS,8183978,2014-09-11,0.0,A,0.0,A,0.0,A
2014-09-12,USGS,8183978,2014-09-12,0.0,A,0.0,A,0.0,A
2014-09-13,USGS,8183978,2014-09-13,0.0,A,0.0,A,0.0,A
2014-09-14,USGS,8183978,2014-09-14,0.0,A,0.0,A,0.0,A
2014-09-15,USGS,8183978,2014-09-15,0.0,A,0.0,A,0.0,A
2014-09-16,USGS,8183978,2014-09-16,0.0,A,0.0,A,0.0,A
2014-09-17,USGS,8183978,2014-09-17,0.0,A,0.0,A,0.0,A
2014-09-18,USGS,8183978,2014-09-18,0.0,A,0.0,A,0.0,A
2014-09-19,USGS,8183978,2014-09-19,0.0,A,0.0,A,0.0,A
2014-09-20,USGS,8183978,2014-09-20,0.0,A,0.0,A,0.0,A
2014-09-21,USGS,8183978,2014-09-21,0.0,A,0.0,A,0.0,A
2014-09-22,USGS,8183978,2014-09-22,0.0,A,0.0,A,0.0,A
2014-09-23,USGS,8183978,2014-09-23,0.0,A,0.0,A,0.0,A
2014-09-24,USGS,8183978,2014-09-24,0.0,A,0.0,A,0.0,A
2014-09-25,USGS,8183978,2014-09-25,0.0,A,0.0,A,0.0,A
2014-09-26,USGS,8183978,2014-09-26,0.0,A,0.0,A,0.0,A
2014-09-27,USGS,8183978,2014-09-27,0.0,A,0.0,A,0.0,A
2014-09-28,USGS,8183978,2014-09-28,0.0,A,0.0,A,0.0,A
2014-09-29,USGS,8183978,2014-09-29,0.0,A,0.0,A,0.0,A
2014-09-30,USGS,8183978,2014-09-30,0.0,A,0.0,A,0.0,A
2014-10-01,USGS,8183978,2014-10-01,0.0,A,0.0,A,0.0,A
2014-10-02,USGS,8183978,2014-10-02,0.0,A,0.0,A,0.0,A
2014-10-03,USGS,8183978,2014-10-03,0.0,A,0.0,A,0.0,A
2014-10-04,USGS,8183978,2014-10-04,0.0,A,0.0,A,0.0,A
2014-10-05,USGS,8183978,2014-10-05,0.0,A,0.0,A,0.0,A
2014-10-06,USGS,8183978,2014-10-06,0.0,A,0.0,A,0.0,A
2014-10-07,USGS,8183978,2014-10-07,0.0,A,0.0,A,0.0,A
2014-10-08,USGS,8183978,2014-10-08,0.0,A,0.0,A,0.0,A
2014-10-09,USGS,8183978,2014-10-09,0.0,A,0.0,A,0.0,A
2014-10-10,USGS,8183978,2014-10-10,0.0,A,0.0,A,0.0,A
2014-10-11,USGS,8183978,2014-10-11,0.0,A,0.0,A,0.0,A
2014-10-12,USGS,8183978,2014-10-12,0.0,A,0.0,A,0.0,A
